address,Latitude,Longitude,type
"409 Eastern Avenue, Lynn Ma 01902",42.4792175,-70.9331188,School
"123 Lewis Street, Lynn, MA 01902",42.4661199,-70.930991,School
"200 O’Callaghan Way Lynn, MA 01905",42.4687016,-70.9874688,School
"40 Franklin Street, Lynn MA 01902",42.4652592,-70.9544774,School
"50 Elm Street Lynn, MA 01905",42.4607246,-70.963047,School
"34 Hood Street Lynn, MA 01905",42.4605981,-70.9692985,School
"100 Robinson St., Lynn, MA 01905",42.4687769,-70.970621,School
"49 Hollingsworth St., Lynn, MA 01902",42.4711536,-70.9474416,School
"21 Dexter St., Lynn, MA 01902",42.4646885,-70.9390538,School
"24 Oakwood Avenue, Lynn, MA 01902",42.478402,-70.938718,School
"1 Collins Street Terrace Lynn, MA 01902",42.4717128,-70.93661,School
"115 Gardiner Street, Lynn, MA 01905",42.4678724,-70.9770367,School
"31 Trevett Avenue, Lynn, MA 01904",42.4959662,-70.9715645,School
"25 Ontario Street, Lynn, MA 01905",42.4732906,-70.9679233,School
"26 Regina Road, Lynn, MA 01904",42.50484,-70.983587,School
"58 Conomo Avenue, Lynn, MA 01904",42.4863409,-70.9582783,School
"35 Walnut Street, Lynn, MA 01905",42.469222,-70.9665687,School
"58 Blossom Street, Lynn, MA 01902",42.461671,-70.95404,School
"33 North Common Street, Lynn, MA 01902",42.463788,-70.9566063,School
"90 O’Callaghan Way, Lynn, MA 01905",42.4687016,-70.9874688,School
"100 Brookline Street, Lynn, MA 01902",42.4705103,-70.9303266,School
"503 Lynnfield St, Lynn, MA 01904",42.5022571,-70.9788114,School
"26 Urban St, Lynn, MA 01904",42.4882584,-70.9536191,School
"581 Boston Street, Lynn, MA 01905",42.464041,-70.9739998,School
"28 Bowler St, Lynn, MA 01904",42.4798775,-70.9493932,School
"35 Tremont St., Lynn, MA 01902",42.4629723,-70.9508011,School
"20 Wheeler Street, Lynn, MA 01902",42.4607007,-70.950736,School
"90 High Rock Street, Lynn, MA 01902",42.4678753,-70.9494485,School
"65 Monroe Street, Lynn, MA 01901",42.4963057,-70.8920956,Hunger Relief Organization
"74 S. Common Street, Lynn MA 01902",42.4629267,-70.9562989,Hunger Relief Organization
"98 Willow Street, Lynn MA 01901",42.4648564,-70.9475152,Hunger Relief Organization
"233 Eastern Avenue, Lynn MA 01902",42.4742709,-70.9277446,Hunger Relief Organization
"56 Franklin Street, Lynn MA 01902",42.4655163,-70.955159,Hunger Relief Organization
"8 S. Common, Lynn MA 01902",42.4633745,-70.9517354,Hunger Relief Organization
"40 Green Street, Lynn MA 01902",42.4667636,-70.9392003,Hunger Relief Organization
"1 Franklin Street, Lynn MA 01902",42.4648471,-70.9525978,Hunger Relief Organization
"117 Common Street, Lynn MA 01902",42.4633924,-70.955875,Hunger Relief Organization
"20 Central Ave., Lynn MA 01901",42.463978,-70.9459,WIC 
"8 Silsbee Street, Lynn, MA 01901",42.4654456,-70.9423637,Senior Center
1 Collins Street Terrace 01902,42.4717128,-70.93661,TFP Ingalls School Farm
"10 Exchange St, Lynn, MA 01901",42.4637248,-70.9436149,Central Square Farmers Market
"49 Hollingsworth St, Lynn, MA 01902",42.4711536,-70.9474416,School Garden
"100 Robinson St, Lynn, MA 01905",42.4687769,-70.970621,School Garden
"24 Oakwood Ave, Lynn, MA 01902",42.478402,-70.938718,School Garden
"58 Blossom St, Lynn, MA 01902",42.461671,-70.95404,School Garden
"34 Hood St, Lynn, MA 01905",42.4605981,-70.9692985,School Garden
"21 Dexter St, Lynn, MA 01902",42.4646885,-70.9390538,School Garden
"123 Lewis St, Lynn, MA 01902",42.4661199,-70.930991,School Garden
"26 Strawberry Ave., Lynn MA 01904",42.4689954,-70.9603703,Community Garden
"64 Cook Street, Lynn MA 01902",42.4733334,-70.9463884,Community Garden
"366 Essex Street, Lynn MA 01902",42.4690589,-70.9417128,Community Garden
"20 Neptune, Lynn MA 01902",42.4602622,-70.9521283,Community Garden
"10 Church Street, Lynn MA 01902",42.4618487,-70.9529855,Community Garden
"56 Meadowcourt, Lynn MA 01904",42.4853825,-70.9580255,Community Garden
"120 Monroe Street, Lynn MA 01901",42.463415,-70.946351,TFP Office & Farm
