Name,Latitude,Longitude,Source Type,,,
Christopher's Cafe ,42.4624485,-70.9609641,Cafe,,,
Commercial Market,42.4700783,-70.9392426,Corner Store/ Bodega,,,
Romans Market ,42.4637922,-70.9438606,Corner Store/ Bodega,,,
Cibao Market ,42.4666399,-70.9394982,Corner Store/ Bodega,,,
Diaz Bakery ,42.4853825,-70.9580255,Corner Store/ Bodega,,,
Eastern Market ,42.4627152,-70.9472158,Corner Store/ Bodega,,,https://thexs-mapping.firebaseapp.com/mapping.html?fid=0Bz92oPqI2WPMR1dNNTE3MExyZnM
D & M Market,42.4618487,-70.9529855,Corner Store/ Bodega,,,
Lily Convenience Store,42.4619936,-70.9705072,Corner Store/ Bodega,,,
Santo Domingo Grocery,42.4687605,-70.9581672,Corner Store/ Bodega,,,
Alnour Market,42.4670397,-70.9258714,Corner Store/ Bodega,,,
Chapia Express,42.4611137,-70.9498486,Corner Store/ Bodega,,,
D+T Market,42.4629241,-70.9467302,Corner Store/ Bodega,,,
Aegean Market,42.463946,-70.9451801,Corner Store/ Bodega,,,
Merengue Market ,42.4631427,-70.9416218,Corner Store/ Bodega,,,
Market Sq Convenience,42.4643547,-70.9432362,Corner Store/ Bodega,,,
Lincoln Market ,42.4630196,-70.9397926,Corner Store/ Bodega,,,
Tedeschi ,42.4303911,-71.0252797,Corner Store/ Bodega,,,
De pueblo Market,42.464808,-70.9512139,Corner Store/ Bodega,,,
Benjy's Convenience Store ,42.4634466,-70.9464156,Corner Store/ Bodega,,,
7 Eleven,42.4697452,-70.9538486,Corner Store/ Bodega,,,
Oriental Food Market,42.467248,-70.940643,Corner Store/ Bodega,,,
Johnny's Market ,42.469605,-70.939299,Corner Store/ Bodega,,,
One Stop Mart,42.4701627,-70.937142,Corner Store/ Bodega,,,
Sun Rise Convenience Store,42.4660754,-70.9424684,Corner Store/ Bodega,,,
Amigo Market,42.4660754,-70.9424684,Corner Store/ Bodega,,,
Lynn Neighborhood Market,42.4664839,-70.9645105,Corner Store/ Bodega,,,
Lucky 7 Market,42.4686385,-70.9425521,Corner Store/ Bodega,,,
Full Moon Market,42.4682812,-70.9429901,Corner Store/ Bodega,,,
Dee's Corner Convenience Store,42.470075,-70.9402529,Corner Store/ Bodega,,,
Lynn Market,42.4639362,-70.9446699,Corner Store/ Bodega,,,
Convenience Station,42.4675289,-70.9442184,Corner Store/ Bodega,,,
Lynn New Market,42.4689482,-70.9420569,Corner Store/ Bodega,,,
Mi Provincia Market ,42.4602941,-70.9603409,Corner Store/ Bodega,,,
Norm's Variety ,42.4694879,-70.9466782,Corner Store/ Bodega,,,
Jim's Corner Market ,42.4627826,-70.9417357,Corner Store/ Bodega,,,
Chatham Food Market ,42.4576953,-70.9356785,Corner Store/ Bodega,,,
EZ Shop ,42.462907,-70.9581695,Corner Store/ Bodega,,,
Nina's Market ,42.464362,-70.9343411,Corner Store/ Bodega,,,
D'Li Linea Mini Market ,42.4631503,-70.9402782,Corner Store/ Bodega,,,
Duran Market,42.4637275,-70.945736,Corner Store/ Bodega,,,
T- Stop-Superette,42.4626632,-70.9432802,Corner Store/ Bodega,,,
N S Market,42.4659027,-70.9554514,Corner Store/ Bodega,,,
El Gustaso Market,42.465276,-70.950619,Corner Store/ Bodega,,,
Henry's Variety,42.4663686,-70.9509417,Corner Store/ Bodega,,,
Linden Market ,42.4636531,-70.9457753,Corner Store/ Bodega,,,
Tedeschi ,42.4674982,-70.9400271,Corner Store/ Bodega,,,
Family Corner ,42.4697452,-70.9538486,Corner Store/ Bodega,,,
La Marketa ,42.4660754,-70.9424684,Corner Store/ Bodega,,,
Santiago Market,42.464123,-70.936832,Corner Store/ Bodega,,,
El Colmadon,42.4670397,-70.9258714,Corner Store/ Bodega,,,
Dee's Corner,42.4663555,-70.9512683,Corner Store/ Bodega,,,
The Corner Shop,42.4657614,-70.9503684,Corner Store/ Bodega,,,
Diamond District Minimart ,42.4653778,-70.9315514,Corner Store/ Bodega,,,
Jenny Convenience Store ,42.4633125,-70.9396744,Corner Store/ Bodega,,,
D&T Convenience Store,42.4661078,-70.955162,Corner Store/ Bodega,,,
Benjy's Market ,42.4693041,-70.9372668,Corner Store/ Bodega,,,
Caribbean Choice Varieties,42.4633516,-70.9408599,Corner Store/ Bodega,,,
Kaps Highland Variety,42.4709519,-70.9439653,Corner Store/ Bodega,,,
D&M Variety,42.463879,-70.945722,Corner Store/ Bodega,,,
Essex Market ,42.4638477,-70.9441035,Corner Store/ Bodega,,,
Soriya Market ,42.4676255,-70.9401565,Corner Store/ Bodega,,,
All Day Convenience ,42.465013,-70.925489,Corner Store/ Bodega,,,
Dollar Tree,42.462821,-70.9464565,Drug/Discount Store,,,
Lynnway Market ,42.4654456,-70.9423637,Drug/Discount Store,,,
Walgreens ,42.4655163,-70.955159,Drug/Discount Store,,,
Rite Aid,42.4655163,-70.955159,Drug/Discount Store,,,
Crown Drug,42.474305,-70.9278099,Drug/Discount Store,,,
CVS,42.4630174,-70.9337916,Drug/Discount Store,,,
Pollo Royal,42.4648564,-70.9475152,Full Service,,,
Dragon Inn,42.4644116,-70.9740584,Full Service,,,
Antique Table Restaurant ,42.4648471,-70.9525978,Full Service,,,
La Ruta ,42.4629267,-70.9562989,Full Service,,,
El Típico,42.4639778,-70.9507772,Full Service,,,
Columbia Cafe ,42.4659925,-70.949322,Full Service,,,
Brandy Barrel Pub,42.4639607,-70.9460172,Full Service,,,
Brothers Deli ,42.4657723,-70.9300913,Full Service,,,
Lynn Meat Land ,42.4579258,-70.9500439,Full Service,,,
Hacienda Corona,42.4570475,-70.9504141,Full Service,,,
Trio Mexican Grill,42.4565766,-70.9537298,Full Service,,,
Green Tea,42.4623207,-70.9498381,Full Service,,,
Asian Garden ,42.457387,-70.9513506,Full Service,,,
Pelican Pub & Grill,42.4612657,-70.9496695,Full Service,,,
Porthole,42.4632664,-70.947593,Full Service,,,
Monte's,42.4643202,-70.9468286,Full Service,,,
Taqueria Mexico Lindo ,42.4638483,-70.9469554,Full Service,,,
Jins Garden,42.4660754,-70.9424684,Full Service,,,
El Cibaeno Restaurant ,42.4627152,-70.9472158,Full Service,,,
Caribe Restaurant ,42.4650208,-70.9483429,Full Service,,,
Lido Cafe,42.4688381,-70.9604691,Full Service,,,
people's choice seafood ,42.4743427,-70.9481934,Full Service,,,
Tony's Pub and Grill,42.4701609,-70.9389701,Full Service,,,
